# index, label, _pos
214,318628_w,"array([ 7.14867921, -4.91638469])"
215,596263_w,"array([ 6.51655917, -5.28748798])"
216,1659_i,"array([14.97969814, -7.97667368])"
217,11826_w,"array([15.22996797, -7.87329064])"
218,306571_w,"array([14.92423144, -8.2419894 ])"
219,306651_w,"array([14.79331396, -7.78272666])"
220,1685_i,"array([ 4.07675599, -7.91278722])"
221,33879_w,"array([ 3.79950027, -8.02564572])"
222,346930_w,"array([ 4.28394211, -8.58722905])"
223,17005_i,"array([ 6.17533542, -8.71110811])"
224,258300_w,"array([ 5.93136348, -8.6449099 ])"
225,303341_w,"array([ 6.10474321, -9.4727548 ])"
226,42744_w,"array([ 6.35371794, -8.39406643])"
227,45607_w,"array([ 6.30622255, -9.50477148])"
228,1715_i,"array([ 4.6644438 , -7.96180611])"
229,497630_w,"array([ 4.20687893, -8.39649333])"
230,664622_w,"array([ 4.91558449, -7.53452522])"
231,1742_i,"array([ 4.63820216, -7.86675955])"
232,243875_w,"array([ 5.16859718, -7.39488123])"
233,308888_w,"array([ 4.50957501, -8.81041405])"
234,347560_w,"array([ 4.64800184, -7.78261729])"
235,558654_w,"array([ 4.21867634, -7.5459975 ])"
236,17565_i,"array([ 5.6337979 , -4.53979415])"
237,217240_w,"array([ 5.10722174, -4.16201157])"
238,298704_w,"array([ 5.26471654, -4.06886546])"
239,303101_w,"array([ 5.23799042, -4.27004474])"
240,371227_w,"array([ 5.11707877, -4.3809434 ])"
241,399440_w,"array([ 4.94283232, -4.14015278])"
242,42364_w,"array([ 5.38214126, -4.18075197])"
243,89466_w,"array([ 5.41380423, -3.97652392])"
244,1769_i,"array([ 5.33090205, -5.29120085])"
245,308968_w,"array([ 4.74472549, -4.96862069])"
246,1797_i,"array([ 4.15505416, -7.35990194])"
247,269885_w,"array([ 3.83422302, -6.94451753])"
248,1848_i,"array([-2.98764133, -5.75822625])"
249,310043_w,"array([-2.89122568, -5.5211663 ])"
250,312997_w,"array([-3.09128702, -5.98605377])"
251,1875_i,"array([ 4.3077063 , -4.37563455])"
252,599854_w,"array([ 4.89618013, -4.74371875])"
253,1902_i,"array([ 4.38676323, -8.13733295])"
254,311247_w,"array([ 4.21522079, -9.07179487])"
255,19086_i,"array([ 7.32426985, -6.44148432])"
256,231765_w,"array([ 6.27384907, -6.21872458])"
257,246918_w,"array([ 7.90260713, -6.55803225])"
258,300928_w,"array([ 8.08387925, -6.80796086])"
259,305497_w,"array([ 7.78859431, -6.43477602])"
260,341117_w,"array([ 6.58365774, -5.71439116])"
261,377652_w,"array([ 8.06538322, -6.53362616])"
262,696712_w,"array([ 7.97129919, -6.3940174 ])"
263,85870_w,"array([ 7.98934426, -6.69339282])"
264,190_i,"array([  2.36486961, -15.07222876])"
265,324123_w,"array([  2.14086564, -15.16524332])"
266,1927_i,"array([ 4.46182721, -4.25840077])"
267,19336_i,"array([ 8.68190428, -6.96623378])"
268,204649_w,"array([ 8.00133055, -7.17559153])"
269,222899_w,"array([ 7.74471061, -6.24343673])"
270,257582_w,"array([ 9.36359543, -7.21308322])"
271,285655_w,"array([ 9.19092255, -7.29071467])"
272,343063_w,"array([ 9.34622094, -7.01780183])"
273,1954_i,"array([ 6.68980036, -0.09396858])"
274,312572_w,"array([6.84839385, 0.31417025])"
275,43694_w,"array([ 6.48692103, -0.66713669])"
276,19610_i,"array([ 6.71342354, -5.49044794])"
277,242979_w,"array([ 5.37033747, -4.53868154])"
278,253904_w,"array([ 6.16146173, -4.47568075])"
279,255487_w,"array([ 6.66410851, -5.3116713 ])"
280,279540_w,"array([ 6.71163609, -5.02988295])"
281,311737_w,"array([ 6.34955526, -5.3222963 ])"
282,317110_w,"array([ 6.47722171, -5.03789074])"
283,37706_w,"array([ 6.8736576 , -5.04885136])"
284,430937_w,"array([ 6.52820275, -5.81723164])"
285,569041_w,"array([ 7.26580979, -6.05375922])"
286,630627_w,"array([ 5.73253423, -5.34775698])"
287,1983_i,"array([ 4.40558098, -6.83953372])"
288,427021_w,"array([ 4.6221123 , -7.39704616])"
289,44672_w,"array([ 4.00897589, -7.20929087])"
290,19862_i,"array([ 7.05392325, -5.04212756])"
291,250257_w,"array([ 6.88992999, -5.39786813])"
292,2010_i,"array([ 3.43317291, -5.26862539])"
293,56235_w,"array([ 4.01667977, -5.66443295])"
294,2038_i,"array([ 4.2319741 , -7.62556479])"
295,459248_w,"array([ 4.79824455, -7.56250067])"
296,466328_w,"array([ 3.97454033, -7.12776419])"
297,20615_i,"array([2.45148847, 4.21607384])"
298,239764_w,"array([2.55782107, 3.88760698])"
299,239841_w,"array([2.79799421, 4.26038612])"
300,239942_w,"array([2.46959788, 4.56162954])"
301,300639_w,"array([2.75105533, 4.02779916])"
302,300711_w,"array([2.31498836, 3.9034831 ])"
303,300785_w,"array([2.2452877 , 4.48319826])"
304,300857_w,"array([2.09953878, 4.29598911])"
305,606088_w,"array([2.6862169 , 4.46888069])"
306,606969_w,"array([2.13904894, 4.06247887])"
307,2067_i,"array([ 9.07812389, -2.24296435])"
308,2095_i,"array([ 6.64678333, -8.14308938])"
309,500928_w,"array([ 6.72524249, -8.84444412])"
310,2120_i,"array([2.06177527, 2.04140993])"
311,277717_w,"array([2.19325655, 2.36534749])"
312,305825_w,"array([1.87463296, 2.2794998 ])"
313,369966_w,"array([1.74816436, 2.55371553])"
314,553776_w,"array([2.32466956, 1.31676761])"
315,2147_i,"array([ 6.65805169, -8.60444834])"
316,5186_w,"array([ 6.66697028, -9.00879224])"
317,21613_i,"array([ 8.60889236, -3.85600672])"
318,534671_w,"array([ 7.53012874, -5.5834054 ])"
319,556845_w,"array([ 9.21709847, -3.64223504])"
320,560727_w,"array([ 9.01100916, -3.45983094])"
321,623057_w,"array([ 9.20545251, -3.4543856 ])"
322,2174_i,"array([ 4.13297137, -7.42263416])"
323,494371_w,"array([ 4.36696791, -7.58643327])"
324,90374_w,"array([ 4.75823543, -7.48471037])"
325,217_i,"array([ 7.83451755, -8.36939531])"
326,113777_w,"array([ 8.37952857, -8.7172336 ])"
327,247294_w,"array([ 8.24369658, -8.89265154])"
328,21858_i,"array([ 7.35064744, -5.13148433])"
329,446693_w,"array([ 7.48874026, -4.03785545])"
