# index, label, _pos
295,277104_w,"array([-2.9413111 , -5.47695811])"
296,363472_w,"array([-1.92717769, -5.55276178])"
297,60324_w,"array([-3.11258591, -5.0749801 ])"
298,19854_i,"array([-3.30176586, -4.24297136])"
299,593795_w,"array([-2.80608584, -4.5229202 ])"
300,20354_i,"array([-3.30356695, -7.50629405])"
301,313231_w,"array([-2.78505804, -7.01034819])"
302,319804_w,"array([-2.8117695 , -6.92266348])"
303,328726_w,"array([-3.72454236, -7.73081675])"
304,331861_w,"array([-3.67750471, -7.87695785])"
305,332891_w,"array([-3.50970977, -7.91489823])"
306,521017_w,"array([-3.57705718, -7.7737992 ])"
307,20607_i,"array([-3.01481854, -5.91095661])"
308,21112_i,"array([-2.91223395, -5.21409161])"
309,2112_i,"array([-1.5278199 , -4.17762132])"
310,155678_w,"array([-1.79718876, -4.11469161])"
311,20555_w,"array([-1.96665295, -4.07004546])"
312,211494_w,"array([-1.77543838, -4.64562666])"
313,224260_w,"array([-1.22239305, -3.65964988])"
314,262600_w,"array([-1.91316952, -3.96058147])"
315,295168_w,"array([-1.96488309, -4.458934  ])"
316,310995_w,"array([-1.31621502, -4.84739469])"
317,315751_w,"array([-1.92547682, -4.15845314])"
318,316943_w,"array([-1.28890586, -3.57783315])"
319,325936_w,"array([-1.50641238, -3.65272504])"
320,3633_w,"array([-1.13617677, -3.72583621])"
321,440550_w,"array([-2.13345306, -4.33330692])"
322,50219_w,"array([-1.62963394, -4.52012994])"
323,5179_w,"array([-1.7683865 , -4.39540819])"
324,602529_w,"array([-1.28797699, -3.75582571])"
325,73213_w,"array([-1.36555347, -3.68108255])"
326,76281_w,"array([-1.18740492, -3.82941833])"
327,21606_i,"array([-0.79252356, -5.68895582])"
328,235842_w,"array([-0.43239279, -5.56845726])"
329,276932_w,"array([-0.69457117, -6.28164149])"
330,312833_w,"array([-0.32199812, -5.58450827])"
331,330173_w,"array([-0.36293923, -5.46419456])"
332,35053_w,"array([-0.29243369, -5.687574  ])"
333,501454_w,"array([-0.61087728, -5.96228689])"
334,547064_w,"array([-0.50058633, -5.46103943])"
335,623821_w,"array([-1.30479562, -5.22612702])"
336,80656_w,"array([-0.24571551, -5.50024038])"
337,89941_w,"array([-0.18262201, -5.64864322])"
338,21850_i,"array([-1.7424527 , -3.80409152])"
339,261647_w,"array([-1.85696048, -3.42187687])"
340,270136_w,"array([-1.83761396, -4.04846271])"
341,278371_w,"array([-1.69563237, -3.70931452])"
342,329277_w,"array([-1.76283152, -3.21265309])"
343,333130_w,"array([-1.64060261, -3.20948531])"
344,541729_w,"array([-1.77999205, -3.58720506])"
345,22093_i,"array([-1.77841203, -4.19662401])"
346,188206_w,"array([-2.27375888, -4.67164597])"
347,332493_w,"array([-2.04273186, -3.69911537])"
348,431490_w,"array([-1.1934705 , -4.70771865])"
349,452726_w,"array([-1.92807217, -3.67242471])"
350,22116_i,"array([-3.16392246, -4.74566666])"
351,261958_w,"array([-2.46096427, -4.89112793])"
352,314992_w,"array([-3.66140489, -4.5533195 ])"
353,563359_w,"array([-3.13567085, -5.19498074])"
354,699965_w,"array([-3.59612033, -4.4237805 ])"
355,22357_i,"array([-2.09699293, -3.56392018])"
356,282009_w,"array([-1.85073867, -3.82742857])"
357,590402_w,"array([-2.15610844, -3.91421275])"
358,22597_i,"array([-1.35963241, -4.36926365])"
359,218037_w,"array([-0.89024592, -4.94373282])"
360,269511_w,"array([-2.23313053, -4.27509513])"
361,401429_w,"array([-1.07609205, -3.97355683])"
362,52987_w,"array([-0.52386659, -4.53584576])"
363,23081_i,"array([-8.06601914, -8.03033309])"
364,221211_w,"array([-8.13324563, -7.85042612])"
365,255479_w,"array([-7.99307499, -8.22312871])"
366,24074_i,"array([-0.75493734, -5.22263927])"
367,264454_w,"array([-0.83921875, -5.17226096])"
368,24795_i,"array([-0.37167679, -5.05010283])"
369,399152_w,"array([ 0.30283053, -5.00682651])"
370,25258_i,"array([-1.43582468, -7.167664  ])"
371,325530_w,"array([-1.59797535, -7.86522968])"
372,387834_w,"array([-1.59414465, -6.83922254])"
373,699948_w,"array([-1.50451744, -7.82609978])"
374,25959_i,"array([-2.37945654, -6.0021205 ])"
375,228531_w,"array([-1.95548588, -5.96020237])"
376,62170_w,"array([-2.60166518, -6.0104751 ])"
377,26633_i,"array([-1.98387805, -5.23660034])"
378,145422_w,"array([-1.47008254, -5.00455128])"
379,212480_w,"array([-1.65616387, -4.94326184])"
380,237458_w,"array([-2.06231215, -5.44511818])"
381,238257_w,"array([-2.0149282 , -4.90603206])"
382,275135_w,"array([-2.13136215, -4.89607106])"
383,287703_w,"array([-1.28472023, -4.94410542])"
384,310140_w,"array([-2.4677144 , -5.00365325])"
385,310969_w,"array([-1.4329017 , -4.89361803])"
386,318193_w,"array([-1.76116476, -5.24407333])"
387,342416_w,"array([-2.42156569, -5.08412911])"
388,343055_w,"array([-2.2653113 , -5.06419724])"
389,369959_w,"array([-1.72119347, -4.86155235])"
390,391002_w,"array([-2.10066016, -5.32769274])"
391,420225_w,"array([-1.76817217, -5.13301875])"
392,434316_w,"array([-2.1430966 , -5.88620464])"
393,526492_w,"array([-2.49244982, -5.9685242 ])"
394,539525_w,"array([-2.34813791, -4.87959408])"
395,539964_w,"array([-2.25355224, -5.26944282])"
396,574623_w,"array([-1.8462302 , -5.05398594])"
397,689662_w,"array([-1.98933835, -5.35739079])"
398,698158_w,"array([-2.3041292 , -5.15160561])"
399,698534_w,"array([-2.15906858, -5.22163675])"
400,700434_w,"array([-2.19229677, -4.99038278])"
401,700787_w,"array([-1.88345024, -5.27780012])"
402,701418_w,"array([-2.35155359, -5.23813584])"
403,701981_w,"array([-1.8854063 , -5.15671917])"
404,702794_w,"array([-2.08625055, -4.98880417])"
405,72314_w,"array([-1.93947881, -5.87358544])"
406,26657_i,"array([-1.3400511, -5.7233039])"
407,14554_w,"array([-1.29733469, -5.605098  ])"
408,161786_w,"array([-1.34158519, -5.97773508])"
409,215405_w,"array([-0.84516285, -6.62035743])"
410,243940_w,"array([-0.96083401, -6.6119723 ])"
411,256690_w,"array([-0.91238323, -5.54256424])"
412,257905_w,"array([-1.21311415, -5.69426994])"
413,262577_w,"array([-1.87401735, -5.98737191])"
414,266641_w,"array([-1.06995456, -5.28499615])"
415,272098_w,"array([-0.68425126, -5.16389364])"
416,27287_w,"array([-1.50504562, -5.3296762 ])"
417,276611_w,"array([-1.56740264, -5.69027972])"
418,276670_w,"array([-1.60481562, -5.49665787])"
419,276730_w,"array([-1.40214638, -6.10396494])"
420,281204_w,"array([-1.02753386, -5.94285551])"
421,282365_w,"array([-0.89860785, -5.68697059])"
422,309385_w,"array([-1.93192112, -6.066687  ])"
423,316264_w,"array([-1.49489397, -5.43690724])"
