# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
2304,2304,fbgn1=fbgn2,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788;30995488,MI:1112;MI:0397;MI:0018,None,FBrf0235788 is part of FlyBi data
2304,2300,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2304,17,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2304,140,ad->db,"Screen_1,Screen_3,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018;MI:0727,None,FBrf0235788 is part of FlyBi data
2305,378,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2306,2307,both,"Screen_1,Screen_2,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2308,1270,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2308,2304,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2309,1381,both,"Screen_1,Screen_2,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",BioGrid;DIP;DroID;FlyBase;IntAct;mentha,14605208;19190990;FBrf0235788,MI:0397;MI:1112;MI:0018;MI:0727,MI:0096;MI:0705;MI:0006;MI:0113;MI:0004,FBrf0235788 is part of FlyBi data
2309,627,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2314,321,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2314,1321,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2314,269,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2315,2316,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:1112;MI:0397;MI:0018,MI:0943;MI:0004;MI:0046,FBrf0235788 is part of FlyBi data
2315,2159,ad->db,"Screen_1,","Cen X Cen,",DroID;mentha;FlyBase;IntAct,FBrf0235788;22036573,MI:1112;MI:0397;MI:0018,MI:0007,FBrf0235788 is part of FlyBi data
2315,2317,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
2315,30,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2319,533,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2320,102,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2321,2137,both,"Screen_2,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",BioGrid;DIP;DroID;FlyBase;IntAct;mentha,FBrf0218395;22036573;14605208;24502977,MI:0018,MI:0943;MI:0007;MI:0006;MI:0113;MI:0004;MI:0046,None
2322,461,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2322,2323,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2323,462,both,"Screen_1,Screen_3,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0943;MI:0004;MI:0046,FBrf0235788 is part of FlyBi data
2323,461,both,"Screen_4,","Cen X 2u,",BioGrid;DroID;FlyBase,FBrf0218395;22036573,None,MI:0943;MI:0004;MI:0046,None
2324,603,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
