# index, name, _pos
410,R5AR,"array([35.46979113, -1.76287177])"
411,R5BL,"array([3.62181827e+01, 1.53675890e-02])"
412,R5BR,"array([37.12736365, -2.77654854])"
413,R6AL,"array([38.21799004,  1.22328216])"
414,R6AR,"array([37.24070665, -1.11406351])"
415,R6BL,"array([35.98380876, -1.02016716])"
416,R6BR,"array([36.21043629, -1.98453118])"
417,R7AL,"array([38.36804416, -0.36416071])"
418,R7AR,"array([38.81944688, -1.20834851])"
419,R7BL,"array([38.35880746, -2.01101029])"
420,R7BR,"array([38.31103415, -2.62354631])"
421,R8AL,"array([41.57963435, -1.56651636])"
422,R8AR,"array([42.44206069, -2.01916062])"
423,R8BL,"array([40.01023004,  0.35289918])"
424,R8BR,"array([40.79681382, -0.28834115])"
425,R9AL,"array([40.49287391, -1.89929639])"
426,R9AR,"array([39.99864418, -2.0973945 ])"
427,R9BL,"array([37.51854187, -3.40375178])"
428,R9BR,"array([37.19230179, -1.85115513])"
429,PHDL,"array([41.46582804, -0.04227625])"
430,PHDR,"array([41.32967316, -0.87542783])"
431,HOA,"array([41.14051487, -2.1701723 ])"
432,HOB,"array([41.86561352, -2.44902395])"
433,PCAL,"array([42.20966947, -1.25445454])"
434,PCAR,"array([40.77178275, -3.63407482])"
435,PCBL,"array([43.21156653, -2.32829224])"
436,PCBR,"array([42.4713911 , -2.79753019])"
437,PCCL,"array([45.41402286, -3.77622413])"
438,PCCR,"array([45.34698138, -2.69755761])"
439,SPCL,"array([44.4677465 , -3.24932514])"
440,SPCR,"array([43.9480768 , -2.60715948])"
441,SPDL,"array([42.39317301, -3.70836571])"
442,SPDR,"array([43.06967769, -4.12496871])"
443,SPVL,"array([42.75318379, -5.43817766])"
444,SPVR,"array([41.85907435, -4.99591213])"
445,PVV,"array([39.47423557, -3.63660883])"
446,PVX,"array([38.79031404, -4.19812239])"
447,PVY,"array([39.89386586, -4.56984835])"
448,PVZ,"array([42.04365117, -5.66436215])"
449,DVE,"array([41.65065309, -3.86264895])"
450,DVF,"array([41.18766142, -5.17491028])"
451,DX1,"array([42.5168652 ,  0.35132342])"
452,DX2,"array([41.18643377,  0.82808104])"
453,DX3,"array([42.74362251, -0.68156364])"
454,EF1,"array([38.84792978, -2.74576808])"
455,EF2,"array([38.11805519, -3.35238601])"
456,EF3,"array([37.08296866, -3.83322442])"
